study_id,has_doi,doi,year,authors,title,ntu_proxy_link,nycu_proxy_link,direct_doi_link,search_tip
PMID_39269839,YES,10.3233/jad-240400,2024,Wang T; Yan S; Shan Y,Altered Neuronal Activity Patterns of the Prefrontal Cortex in Alzheimer's Disease After Transcranial Alternating Current Stimulation: A Resting-State fMRI Study.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.3233/jad-240400,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.3233/jad-240400,https://doi.org/10.3233/jad-240400,https://doi.org/10.3233/jad-240400
PMID_40031488,YES,10.1109/embc53108.2024.10782607,2024,Sun J; Liu M; Shen A,Identifying Critical Nodes in the Cognitive Decline Process through EEG Network Community Detection Based on Autoencoder.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1109/embc53108.2024.10782607,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1109/embc53108.2024.10782607,https://doi.org/10.1109/embc53108.2024.10782607,https://doi.org/10.1109/embc53108.2024.10782607
PMID_38427493,YES,10.3233/jad-240002,2024,Wang CS; Chen PS; Tsai TY,"Cognitive Effect of Transcranial Direct Current Stimulation on Left Dorsolateral Prefrontal Cortex in Mild Alzheimer's Disease: A Randomized, Double-Blind, Cross-Over Small-Scale Exploratory Study.",https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.3233/jad-240002,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.3233/jad-240002,https://doi.org/10.3233/jad-240002,https://doi.org/10.3233/jad-240002
PMID_40185902,YES,10.1038/s41380-025-02991-5,2025,Yao W; Hou X; Zheng W,Brain overlapping system-level architecture influenced by external magnetic stimulation and internal gene expression in AD-spectrum patients.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1038/s41380-025-02991-5,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1038/s41380-025-02991-5,https://doi.org/10.1038/s41380-025-02991-5,https://doi.org/10.1038/s41380-025-02991-5
PMID_36436729,YES,10.1016/j.bbr.2022.114226,2023,Lv T; You S; Qin R,Distinct reserve capacity impacts on default-mode network in response to left angular gyrus-navigated repetitive transcranial magnetic stimulation in the prodromal Alzheimer disease.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.bbr.2022.114226,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.bbr.2022.114226,https://doi.org/10.1016/j.bbr.2022.114226,https://doi.org/10.1016/j.bbr.2022.114226
PMID_35339351,YES,10.1016/j.neucli.2022.02.003,2022,Andrade SM; Machado DGDS; Silva-Sauerc LD,Effects of multisite anodal transcranial direct current stimulation combined with cognitive stimulation in patients with Alzheimer's disease and its neurophysiological correlates: A double-blind randomized clinical trial.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.neucli.2022.02.003,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.neucli.2022.02.003,https://doi.org/10.1016/j.neucli.2022.02.003,https://doi.org/10.1016/j.neucli.2022.02.003
PMID_35839637,YES,10.1016/j.psychres.2022.114721,2022,Wei L; Zhang Y; Wang J,Parietal-hippocampal rTMS improves cognitive function in Alzheimer's disease and increases dynamic functional connectivity of default mode network.,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.psychres.2022.114721,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.psychres.2022.114721,https://doi.org/10.1016/j.psychres.2022.114721,https://doi.org/10.1016/j.psychres.2022.114721
PMID_34762980,YES,10.1016/j.neulet.2021.136337,2022,Zhou X; Wang Y; Lv S,"Transcranial magnetic stimulation for sleep disorders in Alzheimer's disease: A double-blind, randomized, and sham-controlled pilot study.",https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.neulet.2021.136337,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.neulet.2021.136337,https://doi.org/10.1016/j.neulet.2021.136337,https://doi.org/10.1016/j.neulet.2021.136337
PMID_40865406,YES,10.1016/j.archger.2025.106000,2025,Ma C; Wu C,"Effects of a combined intervention of music-based movement, neuromodulation-synchronized cognitive training, and emotion regulation on cognitive function in community-dwelling older adults: A randomized controlled trial.",https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.1016/j.archger.2025.106000,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.1016/j.archger.2025.106000,https://doi.org/10.1016/j.archger.2025.106000,https://doi.org/10.1016/j.archger.2025.106000
SCOPUS_2-s2.0-85214924861,YES,10.32598/bcn.2024.514.2,2024,Machiani S.A.,Bihemispheric tDCS Improves Memory and Alters EEG Parameters in Patients With Mild Cognitive Impairment,https://ezproxy.lib.ntu.edu.tw/login?url=https://doi.org/10.32598/bcn.2024.514.2,https://ezproxy.lib.nycu.edu.tw/login?url=https://doi.org/10.32598/bcn.2024.514.2,https://doi.org/10.32598/bcn.2024.514.2,https://doi.org/10.32598/bcn.2024.514.2
